REF;DESIGNATION;QUANTITE STOCK;CATEGORIE;INUTILE;INUTILE2;INUTILE OU INEXPLOITE;BENEFICIAIRE OU N°COMMANDE;INUTILE3;MACHINE;FOURNISSEUR;REF FOURNISSEUR;Colonne9;STOCK MINI;INUTILE4;DATE ENTREE;INUTILE OU FUTUR DATE DE SORTIE
SBC68LU;CIBLE Cr;1;Cibles / Slugs;Depot;100;AAA - Non définie;;139;END 5500C;PTS;*;1;0;;02/03/2016;  /  /    
SBC41L;"CIBLE CR 200 MM (BHT) 13.558 DIAM X0.310""""";1;Cibles / Slugs;;;;;139;END 5500C;WILLIAMS;NC;0;0;;24/06/2013;  /  /    
SBC55L;CIBLE Cu Te2 (4N) 100MM X 6MM;1;Cibles / Slugs;;;;*;;;NIKKO;.;0;0;;03/06/2014;  /  /    
SBC40L;"CIBLE FE-NI 19% WT%  99.95% DIAM 13.558 X 0.078""""";1;Cibles / Slugs;Depot;;;4000312279;140;END 5500D;PTS;NC;0;0;;24/06/2013;  /  /    
SBC40LU;"CIBLE FE-NI 19% WT%  99.95% DIAM 13.558 X 0.078""""";1;Cibles / Slugs;Depot;;;4000312279;140;END 5500D;PTS;NC;0;0;;06/09/2016;  /  /    
SBC59LU;CIBLE FLAT TIO2;1;Cibles / Slugs;Depot;100;AAA - Non définie;;140;END 5500D;JX;*;0;0;;03/10/2016;  /  /    
SBC48L;CIBLE GD 99.4%;1;Cibles / Slugs;;;;BERNARD.M;;;PTS;*;0;0;;20/03/2014;  /  /    
SBC67LU;CIBLE Ge;1;Cibles / Slugs;Depot;100;AAA - Non définie;;139;END 5500C;PTS;*;1;0;;02/03/2016;  /  /    
SBC23L;CIBLE GE 99,99% 100 MM ;1;Cibles / Slugs;;;;;;;PTS;nc;0;0;;05/06/2013;  /  /    
SBC58L;CIBLE GE69.5%SB11%TE19.5%;1;Cibles / Slugs;Depot;106;AMAT;;434;END 300B;JX;FNQ-A20-000587A ;1;1;;01/12/2015;  /  /    
SBC65L;CIBLE GZO;1;Cibles / Slugs;Depot;100;AAA - Non définie;;140;END 5500D;PTS;*;1;0;;02/03/2016;  /  /    
SBC61L;CIBLE HALFIUM TOP HAT PETIT DIAMETRE ENDURA CHD;1;Cibles / Slugs;Depot;100;AAA - Non définie;;137;END 5500A;JX;*;1;0;;26/02/2016;  /  /    
SBC66LU;CIBLE IGZO;1;Cibles / Slugs;Depot;100;AAA - Non définie;;140;END 5500D;PTS;*;1;0;;02/03/2016;  /  /    
SBC47L;CIBLE ITO (4N) 90/10 UHD.IV 254mm x 6 mm ;1;Cibles / Slugs;;;;TESSAIRE MAGALI ;262;AC CT200A;JX;LCQ-11X-000155A ;0;0;;06/09/2016;  /  /    
SBC62LU;CIBLE MGO RECTANGULAIRE 350X140X6MM AVIZA IBD 300;1;Cibles / Slugs;Depot;100;AAA - Non définie;USURE 6KWH;;;;;1;0;;26/02/2016;  /  /    
SBC64LU;CIBLE MO ;1;Cibles / Slugs;Depot;100;AAA - Non définie;;137;END 5500A;PTS;*;1;0;;02/03/2016;  /  /    
SBC73L;CIBLE NI2P 300MM;1;Cibles / Slugs;Depot;100;AAA - Non définie;;309;END 300A;;;0;0;;07/12/2017;  /  /    
SBC01L;CIBLE OR;1;Cibles / Slugs;;;;MATERION (FR);;;WILLIAMS;ND;0;1;;17/10/2018;  /  /    
SBC38L;CIBLE OXYDE DE GADOLINIUM (GD203) DIAM 100 MMX6MM;1;Cibles / Slugs;;;;BERNARD Mathieu ;;;PRAXAIR;NC;0;1;;29/07/2014;  /  /    
