SIL_200_099;SIL_N+_RED_PH_MONITOR_<100>_1000UM_1.2-1.5MILLIOHM;;136
SIL_200_101A;SOI_PRIME_600NM;;30
SIL_200_102A;SOI_PRIME_310NM-800NM_P_CZ_<100>_725UM_>750OHM;;177
SIL_200_104B;BSOI_N_CZ_<100>_1.5UM-2UM_725UM_5-15OHM;;28
SIL_200_105A;BSOI_N_CZ_<100>_0.5UM-100UM_725UM_5-15OHM;;81
SIL_200_109A;BSOI_P+_<100>_1.5UM-10UM_<100>_725UM_0.01-0.025OHM;;25
SIL_200_111A;SOI_PRIME_HR_220NM-2000NM+-100A_>750OHM;;169
SIL_200_113;SIL_N+_RED_PH_MONITOR_CZ_<100>_725UM_<1,6MILLIOHM;;81
SIL_200_115;SIL_RECYCLE-NON-CONTAMINE_SUPPLY_GRADE1_MINI-660UM;;35
SIL_200_115SAS;SIL_RECYCLE-NON-CONTAMINE_SUPPLY_GRADE1_MINI-660UM;;50
SIL_200_116;SOI_PRIME_500-1000NM+/-100A _P-_HR_725UM ;;84
SIL_200_117;SILICIUM_P_MONITOR_CZ_<100>_725UM_1-5000 OHM ;;1
SIL_200_118;SILICIUM_P_MONITOR_CZ_<100>_1000µm_5-20mOhm ;;72
SIL_200_120A;SIL_P_HR_PRIME_CZ_<100>_725UM_>1000/99999OHM/DSP ;;19
SIL_200_120c;SIL_P_HR_PRIME_CZ_<100>_725UM_>1000/99999OHM/DSP ;;11
SIL_200_121A;SILICIUM_P_EPI_7µm ;;69
SIL_200_124A;200MM-SILICIUM-N-5-25OHMS-DSP ET MESURE µPCF;;1
SIL_200_126A;SILICIUM_P+_CZ_<100>_725UM_8-15MILLIOHM_POLY/LTO ;;53
SIL_200_127;SIL_N+_RED_PHOS_725µm_1.0-2.0 Mohm;;556
SIL_200_128;SIL_N+_RED_PH_1000µm ;;300
SIL_200_129;VERRE_EAGLE XG_500UM;;50
SIL_200_130;SIL_N+_725UM_As_3-7MILLIOHM;;49
SIL_200_133A;SILICIUM P+<111> 1500µm 0.1-8 mohm;;35
SIL_200_134A;SIL 200MM TYPE <111> 1000µm <5mOhm Edge 32R20;;20
SIL_200_137A;SIL P<111> 1150µMCM 3000-8000OHMCM;;33
SIL_200_138;SIL P <001>OFF Orient 0.4 miscut towards <111>;;100
SIL_200_139;WAF.RAW_200MM_BSOI_PP+_CZ_<100>_5UM_1UM_725UM_>100;;44
SIL_200_140A;VERRE_BOROFLOAT33_500UM_DSP_TTV<3UM;;82
SIL_200_141A;SIL_N+_ARSENIC_<111>_1.5-5MOHM;;395
SIL_200_142A;BSOI_P_CZ_(100)_725UM_BOX2000NMLAYER-THICKNE-130UM;;25
SIL_200_143A;BSOI_P_CZ_(100)_725UM_BOX1500NMLAYER-THICKNES-17UM;;75
SIL_200_146;VERRE_200_BOROFLOAT_700µm;;27
SIL_200_147A;SI 200 SOI N 1.5-2µm CZ<100> 725µm 5-10OHMS;;75
SIL_200_149A;SI 200 SOI P 1.5µm-17µm<100> 725µm;;74
SIL_200_150A;SI 200 SOI P 1.5µm-3µm <100> 725µm 5-10 OHMS;;22
SIL_200_151A;200mm_SILICIUM_P_MONITOR_CZ<100>550µm_5-20_OHM SSP;;13
SIL_200_152;200mm VERRE BOROFLOAT33 725µm DSP TTV < 5µm MARQUE;;319
SIL_200_152A;200mm VERRE BOROFLOAT33 725µm DSP TTV < 5µm MARQUE;;150
SIL_200_153;SI_200_SOI_60-4µm_CZ_724µm_0.01-0.02_OHM.CM;;42
SIL_200_156A;SIL_200_PHOSPHORE<100>725µm_10.61-11.62-OHMS*CM;;25
SIL_200_157A;VERRE BOROFLOAT33-1000µm TTV<3µm;;23
SIL_200_158A;200MM_(111)_1000µm>6§KOHM.CM;;47
SIL_200_159A;200MM_(111)_725µm>5KOHM.CM;;14
SIL_200_160A;200MMSOI1500NM-17µm 568µm 5-15 OHMCM;;64
