Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Date incorporation;Mode acquisition;Marque;Modele;Immatriculation;Date miseenservice;Num serie;Date sortie;Commentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;400437;GTX ENGIN DIVERS;LAVEUSE ;30/09/2008;Achat neuf;DULEVO;H820;GT LOCATION;30/09/2008;H82000173;15/01/2018;Sortie MAJ parc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.01;EUTHANASIE VOLAILLES;206905;GTX REMORQUE;REMORQUE ROUTIERE;13/12/2016;Achat neuf;TROUILLET;REM C.M;GT LOGISTICS.01;13/12/2016;VK1R3B1MFJ0EG0014;11/07/2018;Doublon avec Flotte PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;400290;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;01/03/2006;Achat occasion;JUNGHEINRICH;ELE20;GT LOGISTICS (non fact);01/03/2006;BB22355;15/07/2018;Cession externe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;400295;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;01/07/2006;Achat neuf;FENWICK;H16;GT LOGISTICS (non fact);01/07/2006;H2X180T06414;15/07/2018;Cession externe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;400321;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;09/03/2007;Achat neuf;FENWICK;H16;GT LOGISTICS (non fact);09/03/2007;H2X391U01334;15/07/2018;Cession externe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495823;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;30/06/2014;Location longue durée;YALE;ERP15VT;SRB BLANCHARD;30/06/2014;G807B06551M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495824;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;30/06/2014;Location longue durée;YALE;MR14;SRB BLANCHARD;30/06/2014;D849T01862M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495825;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;30/06/2014;Location longue durée;YALE;MR14;SRB BLANCHARD;30/06/2014;D849T01863M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495826;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;30/06/2014;Location longue durée;YALE;MO20;SRB BLANCHARD;30/06/2014;E857T02378M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495827;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;30/06/2014;Location longue durée;YALE;MO20;SRB BLANCHARD;30/06/2014;E857T02377M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
