;;;;;;;;;;;;;;;;;;;;;;;
Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Date incorporation;Mode acquisition;Marque;Modele;Propriétaire;Immatriculation;Date miseenservice;Num serie;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;407928;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 5T<>=9T;14/06/2018;Achat neuf;FENWICK;E50HL-1/600;GT LOGISTICS.01;;01/01/2018;H2X388J00655;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;407929;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 5T<>=9T;14/06/2018;Achat neuf;FENWICK;E50HL-1/600;GT LOGISTICS.01;;01/01/2018;H2X388J00634;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;407930;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 5T<>=9T;14/06/2018;Achat neuf;FENWICK;E50HL-1/600;GT LOGISTICS.01;;01/01/2018;H2X388J00631;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;495778;GTX ENGIN BTP;CHARGEUSE;01/05/2014;Location longue durée;VOLVO;A RENSEIGNER;PHILIPPE MANUTENTION MANULOC;;24/09/2014;VCEL30G0V03120024;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;495819;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;01/07/2014;Location longue durée;HYSTER;H14XM-6;CM CIC BAIL;;01/07/2014;J019E02264M;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;495820;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;01/07/2014;Location longue durée;HYSTER;H14XM-6;CM CIC BAIL;;01/07/2014;J019E02263M;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;497898;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 6T;01/06/2018;Location longue durée;HYSTER;H8.0FT6;;;42736;C299E01519R;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;400310;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;01/11/2006;Achat occasion;FENWICK;G14;GT LOGISTICS (non fact);;01/11/2006;82030635;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;405368;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;24/05/2013;Achat occasion;FENWICK;E14;PROMOCAF;;01/01/2007;H2X335R06242;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;407444;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;03/11/2017;Achat neuf;JUNGHEINRICH;ETV 214;PROMOCAF;;03/11/2017;91121907;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;407445;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;03/11/2017;Achat neuf;JUNGHEINRICH;ETV 214;PROMOCAF;;03/11/2017;91121908;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;407446;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;03/11/2017;Achat neuf;JUNGHEINRICH;ETV 214;PROMOCAF;;03/11/2017;91121909;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;407478;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;28/11/2017;Achat neuf;JUNGHEINRICH;ERE 225;PROMOCAF;;28/11/2017;C181057381;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;407479;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;28/11/2017;Achat neuf;JUNGHEINRICH;ERE 225;PROMOCAF;;28/11/2017;C181057382;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;486764;GTX ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;04/10/2016;Achat occasion;FENWICK;T18;GT LOGISTICS;;01/10/2006;W41152B05263;;;;;;;;;;;
