﻿Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Poids;Date mise en service;Mode acquisition;Marque;Modele;Fournisseur;Immatriculation;Date 1ere immatriculation;Num serie;Commentaires;Ptac;Ptr;Puissance fiscale;Genre;;;;;;
GT LOGISTICS;Bassens;990806;VOITURE;VEHICULE DE FONCTION;;20/09/2016;Location longue durée;AUDI;A4;Arval;EF396JH;20/09/2016;;Utilisateur : P.TELLIER - Flotte ASS VF;1,865;3,465;7;VP;;;;;;
GT LOGISTICS.04;RTA Dunkerque;185341;ENGIN TRACTION;TERBERG;;11/01/2013;Achat occasion;TERBERG;YT182DT1740;FRANCETRUCK;;10/01/2013;XLWYT182682447944;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;186135;ENGIN TRACTION;TERBERG;;31/07/2018;Achat occasion;TERBERG;YT182DT1740;GT LOGISTICS;;02/11/2011;XLWYT1827B4451125;Récup GTX04-BSS;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;186198;ENGIN TRACTION;TERBERG;;11/11/2014;Achat occasion;TERBERG;YT182DT1740;FRANCETRUCK;;10/11/2014;XLWYT182XB444124;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;187246;CAMION ET CAMIONNETTE;TRACTEUR ROUTIER;;18/05/2017;Achat occasion;MAN;;;CW704WM;18/05/2017;;;19,1;44,1;32;TRR;;;;;;
GT LOGISTICS.04;TRIMET;195803;ENGIN TRACTION;TERBERG;;24/04/2014;Location longue durée;TERBERG;YT182DT1740;FRANCETRUCK;;02/04/2014;XWYTI823F9234548;;;;;;;;;;;
GT LOGISTICS.04;TRIMET;195804;ENGIN TRACTION;TERBERG;;24/04/2014;Location longue durée;TERBERG;YT182DT1740;FRANCETRUCK;;02/04/2014;XWYTI823F9234549;;;;;;;;;;;
GT LOGISTICS.04;TRIMET;195805;ENGIN TRACTION;TERBERG;;11/06/2014;Location longue durée;TERBERG;YT182DT1740;FRANCETRUCK;;02/04/2014;XWYTI823F9234550;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;201697;REMORQUE;REMORQUE INDUSTRIELLE;;17/11/1998;Achat neuf;DAUDIN;A RENSEIGNER;GT LOGISTICS;;29/06/2004;490-04-01;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;206889;REMORQUE;CITERNE;;03/05/2001;Achat neuf;SPITZER;;;CA971RE;03/05/2001;;;38;0;0;SREM;;;;;;
GT LOGISTICS.01;GT Santé;206905;REMORQUE;REMORQUE ROUTIERE;;13/12/2016;Achat neuf;TROUILLET;;GT LOGISTICS.01;EH424LP;13/12/2016;;Flotte ASS PL;26;0;0;REM;;;;;;
GT LOGISTICS.04;TRIMET;207931;REMORQUE;CITERNE;;04/09/2018;Achat neuf;KASSBOHER;;;FA860DG;03/09/2018;;;45;0;0;SRTC;;;;;;
GT LOGISTICS.04;TRIMET;207932;REMORQUE;CITERNE;;04/09/2018;Achat neuf;KASSBOHER;;;FA834DG;03/09/2018;;;45;0;0;SRTC;;;;;;
GT LOGISTICS.04;BLUE STAR;285030;REMORQUE;SEMI SANS PLATEAU;;14/06/2004;Achat occasion;SAMRO;;FRANCETRUCK;BX241NW;14/06/2004;;Récup GTX04-BSS en attente HACENE;34;0;;SREM;;;;;;
GT LOGISTICS.04;RTA Dunkerque;285064;REMORQUE;CITERNE;;22/04/1988;Achat occasion;SPITZER;;FRANCETRUCK;BY595CN;22/04/1988;;;34;0;;SREM;;;;;;
GT LOGISTICS.04;RTA Dunkerque;285272;REMORQUE;SEMI SANS PLATEAU;;26/05/1993;Achat occasion;SAMRO;;;CP443QK;26/05/1993;;Récup GTX04-BSS;34;0;0;SREM;;;;;;
GT LOGISTICS.04;TRIMET;285736;REMORQUE;CITERNE;;18/01/2006;Achat occasion;HERMANNS;;;R8801BCD;18/01/2006;;;35;0;0;SREM;;;;;;
GT LOGISTICS.04;TRIMET;285737;REMORQUE;CITERNE;;16/10/2006;Achat occasion;BARYVAL;;;R9423BBY;16/10/2006;;;39;0;0;SREM;;;;;;
GT LOGISTICS.04;TRIMET;285738;REMORQUE;CITERNE;;23/07/2008;Achat occasion;SPITZER;;;L1887318;23/07/2008;;;44;0;0;SREM;;;;;;
GT LOGISTICS.04;RTA Dunkerque;286199;REMORQUE;CITERNE;;02/03/2004;Achat occasion;SPITZER;;;BY861RZ;02/03/2004;;;38;0;0;SREM;;;;;;
GT LOGISTICS.04;RTA Dunkerque;286716;REMORQUE;CITERNE;;19/03/2013;Achat occasion;SPITZER;;GT LOGISTICS;BV713ZP;19/03/2013;;;34;0;0;SREM;;;;;;
GT LOGISTICS.04;RTA Dunkerque;287247;REMORQUE;REMORQUE ROUTIERE;;13/04/2016;Achat occasion;SAMRO;;;CN049XP;13/04/2016;;;34;0;0;SREM;;;;;;
GT LOGISTICS.04;RTA Dunkerque;287248;REMORQUE;REMORQUE ROUTIERE;;27/05/2014;Achat occasion;FREJAT;;;5118RQ62;27/05/2014;;;33;0;0;SREM;;;;;;
GT LOGISTICS.01;GT Santé;287613;REMORQUE;REMORQUE ROUTIERE;;15/12/2017;Achat occasion;CASTERA;;GT LOGISTICS.01;ER421NP;15/12/2017;;Flotte ASS PL;19;0;0;REM;;;;;;
GT LOGISTICS.01;GT Santé;287670;REMORQUE;REMORQUE ROUTIERE;;24/01/2018;Achat occasion;GRUAU;;GT LOGISTICS.01;EK550RB;24/01/2018;;Flotte ASS PL;1,35;0;0;REM;;;;;;
GT LOGISTICS.01;CEA Cesta;304655;CAMION ET CAMIONNETTE;PORTEUR BACHE;;15/02/2011;Achat neuf;RENAULT;;GT LOCATION.;BH133VA;15/02/2011;;Flotte ASS PL;19;22,5;19;CAM;;;;;;
GT LOGISTICS.01;GT Santé;306160;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;19/02/2015;Achat neuf;RENAULT;;GT LOGISTICS.01;DP566ED;19/02/2015;;Flotte ASS PL;2,74;4,74;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;306161;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;19/02/2015;Achat neuf;RENAULT;;GT LOGISTICS.01;DP386ED;19/02/2015;;Flotte ASS PL;2,74;4,74;5;CTTE;;;;;;
GT LOGISTICS.01;CEA Cesta;306173;CAMION ET CAMIONNETTE;PORTEUR BACHE;;19/02/2015;Achat neuf;RENAULT;;GT LOGISTICS.01;DP247DS;19/02/2015;;Flotte ASS PL;19;44;29;CAM;;;;;;
GT LOGISTICS.01;GT Santé;306383;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;31/08/2015;Achat neuf;PEUGEOT;;GT LOGISTICS.01;DV306JK;31/08/2015;;Flotte ASS PL;1,8;2,8;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;306384;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;09/09/2015;Achat neuf;PEUGEOT;;GT LOGISTICS.01;DV739PB;09/09/2015;;Flotte ASS PL;3,5;6,5;7;CTTE;;;;;;
GT LOGISTICS.01;CEA Cesta;306706;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;24/06/2016;Achat neuf;RENAULT;;GT LOGISTICS.01;ED654JV;24/06/2016;;Flotte ASS PL;1,884;2,934;5;CTTE;;;;;;
GT LOGISTICS.01;CEA Cesta;306707;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;07/07/2016;Achat neuf;RENAULT;;GT LOGISTICS.01;ED192VM;07/07/2016;;Flotte ASS PL;1,95;3;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;306730;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;08/08/2016;Achat neuf;PEUGEOT;;GT LOGISTICS.01;EE226ME;08/08/2016;;Flotte ASS PL;1,8;2,8;5;CTTE;;;;;;
GT LOGISTICS.02;PSA POLARIS;306751;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;28/11/2016;Achat neuf;PEUGEOT;;;EH957NG;28/11/2016;;Flotte ASS PL;3,3;5,8;7;CTTE;;;;;;
GT LOGISTICS.02;PSA POLARIS;306752;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;28/11/2016;Achat neuf;PEUGEOT;;;EH597BP;28/11/2016;;Flotte ASS PL;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.02;PSA POLARIS;306753;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;28/11/2016;Achat neuf;PEUGEOT;;;EH886BN;28/11/2016;;Flotte ASS PL;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.02;PSA POLARIS;306754;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;28/11/2016;Achat neuf;PEUGEOT;;;EH697BP;28/11/2016;;Flotte ASS PL;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;306782;CAMION ET CAMIONNETTE;PORTEUR CAISSE VOLAILLE;;23/11/2016;Achat neuf;RENAULT;;GT LOGISTICS.01;EG680YD;23/11/2016;;Flotte ASS PL;29;44;29;CAM;;;;;;
GT LOGISTICS.01;CEA Cesta;306783;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;06/10/2016;Achat neuf;RENAULT;;GT LOGISTICS.01;EF856VX;06/10/2016;;Flotte ASS PL;1,95;3;5;CTTE;;;;;;
GT LOGISTICS.01;CEA Cesta;306819;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;08/11/2016;Achat neuf;RENAULT;;GT LOGISTICS.01;EG571PH;08/11/2016;;Flotte ASS PL;2,807;3,5;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;307125;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;15/03/2017;Achat neuf;PEUGEOT;;GT LOGISTICS.01;EK926VH;15/03/2017;;Flotte ASS PL;1,94;2,89;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;307126;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;15/03/2017;Achat neuf;PEUGEOT;;GT LOGISTICS.01;EK031VJ;15/03/2017;;Flotte ASS PL;2,66;4,06;5;CTTE;;;;;;
GT LOGISTICS.01;GT Santé;307612;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;18/01/2018;Achat neuf;RENAULT;;GT LOGISTICS.01;CM364QD;18/01/2018;;Flotte ASS PL;18;0;19;CAM;;;;;;
GT LOGISTICS.01;GT Santé;307842;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;14/03/2018;Achat neuf;PEUGEOT;;GT LOGISTICS.01;EV815SG;14/03/2018;;Flotte ASS PL;3,1;5;7;CTTE;;;;;;
GT LOGISTICS.01;CEA Saclay;307943;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;28/09/2018;Achat neuf;PEUGEOT;Partner;;FA152JH;14/09/2018;;Flotte VéH. Sce;1,96;2,91;5;CTTE;;;;;;
GT LOGISTICS.06;CONTINENTAL TOULOUSE;396174;CAMION ET CAMIONNETTE;PORTEUR FOURGON;;18/02/2015;Location longue durée;IVECO;;FRAIKIN;DP542DF;18/02/2015;;Flotte ASS PL;3,5;7;8;CTTE;;;;;;
GT LOGISTICS.01;CEA Saclay;397936;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;28/09/2018;Location longue durée;PEUGEOT;Partner;;FA249HL;12/09/2018;;Flotte VéH. Sce;1,589;2,225;6;CTTE;;;;;;
GT LOGISTICS.01;CEA Saclay;397937;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;28/09/2018;Location longue durée;PEUGEOT;Partner;;FA244HL;12/09/2018;;Flotte VéH. Sce;1,589;2,225;6;CTTE;;;;;;
GT LOGISTICS.01;CEA Saclay;397938;CAMION ET CAMIONNETTE;VEHICULE UTILITAIRE;;28/09/2018;Location longue durée;PEUGEOT;Partner;;FA241HL;12/09/2018;;Flotte VéH. Sce;1,589;2,225;6;CTTE;;;;;;
GT LOGISTICS.05;SMURFIT;400123;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;2,5;01/10/2002;Achat neuf;FENWICK;H25D;GT LOGISTICS.01;;01/10/2002;351B04002025;;;;;;;;;;;
GT LOGISTICS.01;EUTHANASIE VOLAILLES;400141;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;07/04/2003;Achat neuf;BT;S12;GT LOGISTICS.01;;07/04/2003;575964;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400225;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/04/2005;Achat neuf;FENWICK;E12;GT LOGISTICS;;01/04/2005;H2X324S00288;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400226;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/04/2005;Achat neuf;FENWICK;E14;GT LOGISTICS.01;;01/04/2005;H2X335S01432;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400227;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;01/04/2005;Achat neuf;FENWICK;H35;GT LOGISTICS;;01/04/2005;H2X393S00815;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400229;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/04/2005;Achat neuf;FENWICK;L10;GT LOGISTICS.01;;01/04/2005;W4X379S01093;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400230;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/04/2005;Achat neuf;FENWICK;L10;GT LOGISTICS.01;;01/04/2005;W4X379S01008;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400237;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;14/04/2005;Achat neuf;FENWICK;H18;GT LOGISTICS;;14/04/2005;H2X350500817;;;;;;;;;;;
GT LOGISTICS.01;EUTHANASIE VOLAILLES;400245;ENGIN BTP;CHARIOT TELESCOPIQUE;;01/06/2005;Achat neuf;MANITOU;MTS23;GT LOGISTICS;;01/06/2005;204439;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400248;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/06/2005;Achat neuf;FENWICK;L12;GT LOGISTICS;;13/06/2005;W4X3379P03160;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400256;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;27/05/2005;Achat occasion;FENWICK;L12;GT LOGISTICS.01;;27/05/2005;W4X379L04049/2000;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400257;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;13/05/2005;Achat neuf;FENWICK;L16;GT LOGISTICS.01;;13/05/2005;W4X372S01361/2005;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;400293;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;12/01/2006;Achat neuf;FENWICK;E16;GT LOGISTICS (non fact);;12/01/2006;H2X335T00872;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;400310;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/11/2006;Achat occasion;FENWICK;G14;GT LOGISTICS (non fact);;01/11/2006;82030635;;;;;;;;;;;
GT LOGISTICS.03;LIDL;400324;ENGIN DIVERS;LAVEUSE;;01/04/2007;Achat neuf;NILKFISK;BR1300S;;;01/04/2007;N1961737;;;;;;;;;;;
GT LOGISTICS.01;CEA Cesta;404247;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/03/2009;Achat neuf;FENWICK;E16;GT LOGISTICS.01;;01/03/2009;H2X386Z02060;;;;;;;;;;;
GT LOGISTICS.01;CEA Cesta;404248;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;01/03/2009;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;01/03/2009;H2X394Z00681;;;;;;;;;;;
GT LOGISTICS.04;TRIMET;404389;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;01/01/2009;Achat neuf;JUNGHEINRICH;ETV 110;GT LOCATION;;01/09/2009;115525D2;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;404772;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;30/12/2010;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;30/12/2010;H2X394B00966;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;404956;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;13/05/2011;Achat neuf;HYSTER;H16.0;GT LOGISTICS.01;;13/05/2011;G019E02596H;HS;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;405080;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/11/2011;Achat neuf;STILL;RX70-20;GT LOGISTICS.01;;01/10/2011;517313B00114;;;;;;;;;;;
GT LOGISTICS.07;RATIER-FIGEAC;405081;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/10/2011;Achat neuf;STILL;RX70-20;GT LOGISTICS.01;;01/10/2011;517313B00113;;;;;;;;;;;
GT LOGISTICS.03;LIDL;405085;ENGIN MAGASINAGE;CHARIOT RETRACTABLE;;01/08/2011;Achat neuf;FENWICK;R20;;;01/08/2011;H2X115B01462;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;405139;ENGIN DIVERS;LAVEUSE;;01/02/2012;Achat neuf;DULEVO;H820;GT LOGISTICS.01;;01/02/2012;120100035;;;;;;;;;;;
GT LOGISTICS.01;CEA Cesta;405152;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;;01/03/2012;Achat neuf;FENWICK;E10;GT LOCATION;;01/03/2012;F2X334C00036;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA MONT;405191;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;;06/07/2015;Achat neuf;YALE;TRANSPALETTE;GT LOGISTICS;;05/06/2012;E842T03637K;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405246;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02340L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405247;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02341L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405250;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02329L;Attente confirmation sortie;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405251;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;04/04/2013;Achat neuf;HYSTER;;;;04/04/2013;R005B02339L;attent info radoane Cession externe;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405252;CHARIOT FRONTAL;CHARIOT ELEVATEUR 9T<à<16T;;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;;04/04/2013;R005B02342L;HS;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405349;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;18/03/2013;Achat neuf;FENWICK;L12;FRANCETRUCK;;18/03/2013;W41172D00917;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405350;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;21/03/2013;Achat neuf;FENWICK;E20;FRANCETRUCK;;20/03/2013;H2X386D01938;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405351;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;25/03/2013;Achat neuf;FENWICK;E20;FRANCETRUCK;;25/03/2013;H2X386D01896;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405352;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;27/03/2013;Achat neuf;FENWICK;E20;FRANCETRUCK;;27/03/2013;H2X386D02088;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA JARRIE;405353;ENGIN TRACTION;LOCOTRACTEUR;;02/02/2015;Achat neuf;EUROTRACT;LOCOTRACTEUR;GT LOGISTICS;;01/02/2015;2533;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405354;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;;12/04/2013;Achat neuf;FENWICK;T16;FRANCETRUCK;;12/04/2013;W41152D03284;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;405357;CHARIOT FRONTAL;CHARIOT ELEVATEUR 5T<à<=9T;;05/07/2018;Achat neuf;NISSAN;GX50D;FRANCETRUCK;;01/05/2013;000101;Récup GTX04-BSS;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405358;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR ACCOMPAGNANT;;19/03/2013;Achat neuf;FENWICK;T16;FRANCETRUCK;;19/03/2013;W41152D02213;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;405362;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;25/04/2013;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;25/04/2013;H2X394D50698;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;405363;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;25/04/2013;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;25/04/2013;H2X394D50696;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;405364;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;25/04/2013;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;25/04/2013;H2X394D50691;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;405365;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;25/04/2013;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;25/04/2013;H2X394D50714;;;;;;;;;;;
GT LOGISTICS.02;NOGENT LE PHAYE;405368;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;24/05/2013;Achat occasion;FENWICK;E14;PROMOCAF;;01/01/2007;H2X335R06242;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405374;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;04/04/2013;Achat neuf;FENWICK;E16;FRANCETRUCK;;04/04/2013;H2X386D02331;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405391;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;26/04/2013;Achat neuf;FENWICK;E40;FRANCETRUCK;;26/04/2013;H2X388D00321;;;;;;;;;;;
GT LOGISTICS.04;ARIANEGROUP Le Haillan;405409;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;31/05/2013;Achat neuf;FENWICK;E20;FRANCETRUCK;;31/05/2013;H2X386D02082;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405450;ENGIN TRACTION;TERBERG;;26/07/2016;Achat occasion;TERBERG;YT182;GT LOGISTICS.01;;01/07/2005;XLWYT182X52655465;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405519;ENGIN DIVERS;BALAYEUSE;;15/10/2013;Achat neuf;TENNANT;S12;GT LOGISTICS.01;;02/10/2013;5210002076;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405818;ENGIN DIVERS;LAVEUSE;;01/07/2014;Achat neuf;TENNANT;T7;GT LOGISTICS.01;;24/03/2014;T755708047;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;405830;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;02/07/2014;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;02/07/2014;H2X394E01537;;;;;;;;;;;
GT LOGISTICS.05;SMURFIT;406120;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;01/12/2014;Achat neuf;FENWICK;H50D;GT LOGISTICS.01;;30/11/2014;H2X394E02607;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA JARRIE;406196;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;20/04/2015;Achat occasion;TOYOTA;C3E180;GT LOGISTICS;;20/04/2015;336483CE;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA JARRIE;406197;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;20/04/2015;Achat neuf;TOYOTA;8FBET18;GT LOGISTICS;;20/04/2015;12210;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA MONT;406360;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;2,5;11/08/2015;Achat neuf;FENWICK;H25T;GT LOGISTICS;;11/08/2015;H2X392F01271;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA MONT;406361;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;2,5;19/08/2015;Achat neuf;FENWICK;H25T;GT LOGISTICS;;11/08/2015;H2X392F01510;;;;;;;;;;;
GT LOGISTICS.04;ARKEMA MONT;406362;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;2,5;23/07/2015;Achat neuf;FENWICK;H25T;GT LOGISTICS;;23/07/2015;H2X392F01253;;;;;;;;;;;
GT LOGISTICS.03;AIA;406409;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/06/2015;Achat neuf;BT;SPE160L;;;06/01/2016;6384235;;;;;;;;;;;
GT LOGISTICS.03;AIA;406410;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/06/2015;Achat neuf;BT;SPE160L;;;06/01/2016;6384815;;;;;;;;;;;
GT LOGISTICS.03;AIA;406411;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/06/2015;Achat neuf;BT;SPE160L;;;06/01/2016;6384236;;;;;;;;;;;
GT LOGISTICS.03;AIA;406412;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/06/2015;Achat neuf;BT;8FBET16;;;06/01/2016;8FBMT16-12023;;;;;;;;;;;
GT LOGISTICS.03;AIA;406413;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/06/2015;Achat neuf;BT;8FBET16;;;06/01/2016;8FBMT16-12022;;;;;;;;;;;
GT LOGISTICS.03;AIA;406414;CHARIOT FRONTAL;CHARIOT ELEVATEUR <2.5T;;01/06/2015;Achat neuf;BT;8FBET16;;;06/01/2016;8FBMT16-12021;;;;;;;;;;;
GT LOGISTICS.03;AIA;406449;ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;;01/01/2016;Achat neuf;BT;SWE080L;;;01/01/2016;6404631;;;;;;;;;;;
GT LOGISTICS.03;AIA;406450;CHARIOT FRONTAL;CHARIOT ELEVATEUR 2.5T<à<5T;;11/01/2016;Achat neuf;BT;8FDF50;;;06/01/2016;40-8FD50N-10329;;;;;;;;;;;
