CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE;N° DE LOT; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION;PEREMPTIONS
SIL_200_032;SOI_MONITOR_70NM-145NM_P_<100>_725UM_8.5-11.5OHM;C2_SIL;76;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_033;SOI_PRIME_70NM-145NM_P_CZ_<100>_725UM_8.5-11.5OHM;C2_SIL;3;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_034;SOI_PRIME_340NM-2000NM_P_<100>_725UM_8.5-11.5OHM;C2_SIL;474;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_035A;SOI_PRIME_160NM-400NM_P-_HR_<100>_725UM_>1000OHM;C2_SIL;30;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_035A;SOI_PRIME_160NM-400NM_P-_HR_<100>_725UM_>1000OHM;J3_SIL;30;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_037;SOI_PRIME_205NM-400NM_P_CZ_<100>_725UM_8.5-11.5OHM;C1_SIL;53;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_039;SOI_PRIME_100NM-200NM_P_CZ_<100>_725UM_8.5-11.5OHM;C1_SIL;59;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_040;SOI_PRIM_400NM-1000NM_P_CZ_<100>_725UM_8.5-11.5OHM;C1_SIL;148;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_041;SOI_PRIM_400NM-2000NM_P_CZ_<100>_725UM_8.5-11.5OHM;C1_SIL;73;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_042; STOCK RIVE SOI_PRIME_P_20%_145A-1450A_CZ_<100>_725UM;RIVE_SIL;23;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_043; STOCK RIVE SOI_PRIME_P_30%_120A-1450A_CZ_<100>_725UM;RIVE_SIL;3;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_044;STOCK RIVE SOI_PRIME_P_40%_90A-1450A_CZ_<100>_725UM;RIVE_SIL;9;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_046A;BSOI_PRIME_P_12000NM-500NM_CZ_<100>_725UM;;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_047A;BSOI_PRIME_P_27000NM-500NM_CZ_<100>_725UM;;51;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_050;VERRE_BOROFLOAT33_500UM_DSP_TTV<5UM_MARQUE;A8_SIL;151;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_060A;SILICIUM_P_MONITOR_CZ_<111>_1000UM_3-20OHM;D1_SIL;1159;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_062 UNIQUEMENT POUR DUPRE;SOI_PRIME_220NM-2000NM_P_CZ_<100>_725UM_14-18.9OHM;;39;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_078;VERRE_EAGLE XG_700UM_DSP_MARQUE;A8_SIL;325;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_078A;VERRE_EAGLE XG_700UM_DSP_MARQUE;A8_SIL;49;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_079A;SILICIUM_P_MONITOR-2-SUP-QUAL_<100>_725UM_1-50OHM;;925;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_085;SILICIUM_N+_ANTIMONY_CZ_<100>_725UM_0,01-0,02OHM;;20;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_086A;SILICIUM_P_MONITOR_CZ_<111>_1000UM_1-1500OHM;;5;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_087;SILIC_P+_FR_MONITOR_CZ_<100>_725UM - 0.01-0.02OHM;D4_SIL;303;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_088;SILICIUM_P_MONITOR_CZ_<100>_1000UM_1-20OHM;;0;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_090A;SILICIUM_P_MONITOR_CZ_<100>_725UM_20-30OHM_TTV<3UM;;15;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_093A;SIL_N++_RED-PH_MONITOR_<100>_725UM_10-20MILLIOHM;;22;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_097A;BSOI_PRIME_18UM-1,5UM;;5;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_099;SIL_N+_RED_PH_MONITOR_<100>_1000UM_1.2-1.5MILLIOHM;;136;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_101A;SOI_PRIME_600NM;;30;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_102A;SOI_PRIME_310NM-800NM_P_CZ_<100>_725UM_>750OHM;D5_SIL;201;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_104B;BSOI_N_CZ_<100>_1.5UM-2UM_725UM_5-15OHM;;28;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_105A;BSOI_N_CZ_<100>_0.5UM-100UM_725UM_5-15OHM;;6;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_109A;BSOI_P+_<100>_1.5UM-10UM_<100>_725UM_0.01-0.025OHM;;27;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_111A;SOI_PRIME_HR_220NM-2000NM+-100A_>750OHM;;171;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_113;SIL_N+_RED_PH_MONITOR_CZ_<100>_725UM_<1,6MILLIOHM;;81;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_115;SIL_RECYCLE-NON-CONTAMINE_SUPPLY_GRADE1_MINI-660UM;K1_SIL;510;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_115;STOCK EN SAS SIL_RECYCLE-NON-CONTAMINE_SUPPLY_GRADE1_MINI-660UM;SAS_SIL;510;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_116;SOI_PRIME_500-1000NM+/-100A _P-_HR_725UM ;;58;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_117;SILICIUM_P_MONITOR_CZ_<100>_725UM_1-5000 OHM ;D6_SIL;1;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_118;SILICIUM_P_MONITOR_CZ_<100>_1000µM_5-20MOHM ;;50;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_120A;SIL_P_HR_PRIME_CZ_<100>_725UM_>1000/99999OHM/DSP ;;18;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_120C;SIL_P_HR_PRIME_CZ_<100>_725UM_>1000/99999OHM/DSP ;;12;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_121A;SILICIUM_P_EPI_7µM ;;69;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_124A;200MM-SILICIUM-N-5-25OHMS-DSP ET MESURE µPCF;;1;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_126A;SILICIUM_P+_CZ_<100>_725UM_8-15MILLIOHM_POLY/LTO ;;53;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_127;SIL_N+_RED_PHOS_725µM_1.0-2.0 MOHM;;553;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_128;SIL_N+_RED_PH_1000µM ;;300;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_129;VERRE_EAGLE XG_500UM;;49;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_130;SIL_N+_725UM_AS_3-7MILLIOHM;;49;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_133A;SILICIUM P+<111> 1500µM 0.1-8 MOHM;;35;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_134A;SIL 200MM TYPE <111> 1000µM <5MOHM EDGE 32R20;;17;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_137A;SIL P<111> 1150µMCM 3000-8000OHMCM;;33;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_138;SIL P <001>OFF ORIENT 0.4 MISCUT TOWARDS <111>;;100;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_139;WAF.RAW_200MM_BSOI_PP+_CZ_<100>_5UM_1UM_725UM_>100;;37;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_140A;VERRE_BOROFLOAT33_500UM_DSP_TTV<3UM;A3_SIL;82;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_141A;SIL_N+_ARSENIC_<111>_1.5-5MOHM;A1_SIL;491;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_142A;BSOI_P_CZ_(100)_725UM_BOX2000NMLAYER-THICKNE-130UM;;25;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_143A;BSOI_P_CZ_(100)_725UM_BOX1500NMLAYER-THICKNES-17UM;;75;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_146;VERRE_200_BOROFLOAT_700µM;;26;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_147A;SI 200 SOI N 1.5-2µM CZ<100> 725µM 5-10OHMS;;75;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_149A;SI 200 SOI P 1.5µM-17µM<100> 725µM;;50;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_150A;SI 200 SOI P 1.5µM-3µM <100> 725µM 5-10 OHMS;;22;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_151A;200MM_SILICIUM_P_MONITOR_CZ<100>550µM_5-20_OHM SSP;;12;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_152;200MM VERRE BOROFLOAT33 725µM DSP TTV < 5µM MARQUE;;304;SILICIUM;;;;;; -   € ;; -   € ; ; ;
SIL_200_152A;200MM VERRE BOROFLOAT33 725µM DSP TTV < 5µM MARQUE;A3_SIL;146;SILICIUM;;;;;; -   € ;; -   € ; ; ;
