CODE ARTICLE CEA;REGULATOR PARTS AVEC 2 VIS;ADRESSE;QTY FINAL
ELEC_G08;CAPTEUR FIN DE COURSE SMC (RAINURE EN O) ;BAT 41F04D3;10
ELEC_G11;RÉGULATEUR DÉBIT AIR ;BAT 41F04D3;5
ELEC_G13;THERMOCOUPLE TYPE K (DIAMÈTRE 0.5MM) ;BAT 41F04D3;2
ELEC_G14;CAPTEUR FIN DE COURSE FESTO (RAINURE EN T) ;BAT 41F04D3;4
ELEC_G15;THERMOCOUPLE ;BAT 41F04D3;3
ELEC_G16;MAGNETIC SWITCH QM/34/P;BAT 41F04D3;5
CAL_V27;ANALOG INPUT;BAT 41F04D4;1
DET_V64;INTERRUPTEUR V4 GALET 6A;BAT 41F04D4;5
EVA_V20;Z-TRAVEL UNIT;BAT 41F04D4;3
LIT_A66;JOINT TORIQUE NOIR;BAT 41F04D4;19
AMA_003;JOINT KALREZ DASE BSR 3,4 X 1,9;BAT 41F04E1;1
AMA_008;VANNE PNEUMATIQUE 1-110-101;BAT 41F04E1;2
DEP_P45;PORTE FILTRE PALL;BAT 41F04E1;1
MET_A85;FLOWMETER ;BAT 41F04F1;31
DEP_J63;ROULEAU D ENTRAINEMENT PIN;BAT 41F04G1;32
MOT_F22;VERIN;BAT 41G01A1;1
MOT_F34;JOINT POUR LIFT PIN HOT PLATE ;BAT 41G01A1;3
MOT_F09;JOINT CANISTER HMDS 215,27 X 6,99;BAT 41G01A2;1
MOT_F20;CARTE CONTROLER MOTEUR XMP-CPCI-8-24V;BAT 41G01A2;2
MOT_F33;ENDEFFECTOR PAD. 6-8 A600V A600V (TEF, B=126MM);BAT 41G01A2;3
MOT_F29;"JOINT MAUVE (LIPPENDICHTUNG 8"""")""""";BAT 41G01A3;1
MOT_F06;"JOINT MAUVE 8"""" (LIPPDICHTUNG 8"""")""""";BAT 41G01A4;2
MOT_F15;CARTE STEPPER MOTOR;BAT 41G01A4;3
EMC_J15;PIN HP HIGH EXHAUST;BAT 41G01B1;1
MEC_007;RONDELLE 18*12*1.0 A2 ;BAT 41G01B2;4
MEC_017;"RONDELLE VCR 1/4 4VG-SS """;BAT 41G01B2;14
JNT_G75;RONDELLE GRAPHITE 4*1MM ;BAT 41G01B3;28
MEC_022;"AGRAFE GRAPHITE 12 """;BAT 41G01B3;6
MEC_028;BAGUE D'ÉTANCHÉITÉ 1/8 CORPS MÉTALIQUE ;BAT 41G01B3;4
MEC_029;O RING 30*4 ;BAT 41G01B3;8
MEC_034;O RING 6*2 ;BAT 41G01B3;9
MEC_F24;"DISQUE GRAPHITE 8 DM 205/60*2MM """;BAT 41G01B3;10
MEC_F28;"DISQUE GRAPHITE 8 DM 210*0.5 """;BAT 41G01B3;12
MEC_F29;VANNE ISO 1/4 DE TOUR;BAT 41G01B3;7
MEC_F32;ILLUMINATION COTROLLER MODEL 2130-C2;BAT 41G01B3;30
MEC_F34;BOL;BAT 41G01B3;6
MEC_F35;DEFLECTEUR;BAT 41G01B3;2
MEC_F36;TUBE PLONGEUR;BAT 41G01B3;4
MEC_F44;VANNE 1/4 TOUR;BAT 41G01B3;1
MEC_F47;CHAMBRE BONDING ;BAT 41G01B3;2
MEC_F49;BOND CHUCK 12/8 TI 50µM CERAMIC;BAT 41G01B3;1
MEC_F54;FILTER REVEN BIA;BAT 41G01B3;4
MEC_F56;ROULEMENT POUR CLAMP BONDCHUCK ;BAT 41G01B3;6
MEC_F59;ECRAN LOAD PORT VISION BROOKS ;BAT 41G01B3;20
MEC_F73;LOADPORT CASSETTE ADAPTER 200MM;BAT 41G01B3;42
MEC_F77;PRESSURE INSERT 8/12 TI W/0B WG;BAT 41G01B3;6
VIS_F69;SYSTÈME DE LEVAGE STAGE ;BAT 41G01B3;2
EMC_X85;SG4-3C-4N;BAT 41G01B4;11
EMT_G61;RADIAL AXE MOTOR;BAT 41G01C1;16
TTH_G33;O-RING PARAFLUOR;BAT 41G01C2;4
TTH_G37;PALETTE DU ROBOT STAUBLI ;BAT 41G01C2;1
TTH_G38;OPTIMIZER DI 0.05UM 8MM PILAR;BAT 41G01C2;2
TTH_G40;FILTRE DEVELOPPEUR ET DI WATER;BAT 41G01C2;1
EMT_G60;MALE CONNECTOR NPT1/4-1/2IMP-84-UAM ;BAT 41G01C3;2
BAG_008;JOINT TORIQUE CUP COATER 400*3 ;BAT 41G01D1;9
