ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_A5;SIL_EXTERNE;;DOPTIIRTPHO;EL ZAMMAR;31/03/2017;T17S1254 cat 3;;;-335
STOCK_EXTERNE_B1;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;AD223P;;;-611
STOCK_EXTERNE_B1;SIL_EXTERNE;;;DEPRAT;;Q450060;;;42490
STOCK_EXTERNE_B1;SIL_EXTERNE;;;LOUP BESSON;31/12/2017;Q644038;;;-610
STOCK_EXTERNE_B1;SIL_EXTERNE;;;CHARPIN;31/12/2017;SI + DEPOT ALU + TIN;;;-610
STOCK_EXTERNE_B1;SIL_EXTERNE;;;FENOUILLET;31/12/2017;T14S0691/T16S0210;;;-610
STOCK_EXTERNE_B1;SIL_EXTERNE;;ARKEMA;ARGOUD;30/11/2019;T15S0914;;;-1309
STOCK_EXTERNE_B1;SIL_EXTERNE;;PCRAM;PERISCO;31/12/2016;T16S0416 / Q613079Q02 / T16S0281 / Q602122;;;-245
STOCK_EXTERNE_B1;SIL_EXTERNE;;ARKEMA;ARGOUD;30/11/2019;T16S0516;;;-1309
STOCK_EXTERNE_B1;SIL_EXTERNE;;COOL CUBE;BRUNET ;31/12/2017;T16S0875;;;-610
STOCK_EXTERNE_B1;SIL_EXTERNE;;PANACHE;BERNASCONI;01/01/2018;Y377A/X532F;;;-611
STOCK_EXTERNE_B1;SIL_EXTERNE;;PANACHE;CARABASSE;01/01/2018;AC335B;;;-611
STOCK_EXTERNE_B2;SIL_EXTERNE;;;Vincent Mazzocchi;00/01/1900;CENT300A (acceptance);;;42490
STOCK_EXTERNE_B2;SIL_EXTERNE;;;Vincent Mazzocchi;00/01/1900;CENT300A-10;;;42490
STOCK_EXTERNE_B2;SIL_EXTERNE;;SIAM;Aurélie THUAIRE;30/09/2016;D15C0083.3;;;-153
STOCK_EXTERNE_B2;SIL_EXTERNE;;GYROM2;BERTHELOT;31/10/2018;D15S1948 + D15S0171;;;-914
STOCK_EXTERNE_B2;SIL_EXTERNE;;;GARCIA BARROS;31/12/2017;T15F0006;;;-610
STOCK_EXTERNE_B2;SIL_EXTERNE;;ARKEMA TASK FORCE ONE;BOUNANI;30/11/2019;T15S0917;;;-1309
