ADRESSE;FAMILLE PRODUIT;DATE;PROJET;DEMANDEUR;DATE FIN DE PROJET;LOT;SORTIE;COMMENTAIRE;JOURS DE PEREMPTION
STOCK_EXTERNE_E4;SIL_EXTERNE;04/01/2019;IDEAL;CHAMIOT-MAITRAL;;T18S0481;;;42490
STOCK_EXTERNE_E4;SIL_EXTERNE;04/01/2019;IDEAL;CHAMIOT-MAITRAL;;T16S0966;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;04/01/2019;;ALLOUTI;;T17S0584A;;;42490
;SIL_EXTERNE;04/01/2019;;AUMONT;;T18C0075;43479;;42490
STOCK_EXTERNE_E1;SIL_EXTERNE;06/03/2019;;;;T17S0073 / Q735008;;;42490
STOCK_EXTERNE_E1;SIL_EXTERNE;06/03/2019;;;;D16S0633;;;42490
STOCK_EXTERNE_E1;SIL_EXTERNE;06/03/2019;;;;D16S1427;;;42490
STOCK_EXTERNE_E1;SIL_EXTERNE;06/03/2019;;;;Q423158;;;42490
STOCK_EXTERNE_E2;SIL_EXTERNE;06/03/2019;;;;MS168P;;;42490
STOCK_EXTERNE_E2;SIL_EXTERNE;06/03/2019;;;;D16F0016A;;;42490
STOCK_EXTERNE_E2;SIL_EXTERNE;06/03/2019;;;;Q610140Q06 / T17S1214 LOLT A / T17S1235 LOT B;;;42490
STOCK_EXTERNE_E3;SIL_EXTERNE;06/03/2019;;;;6SOP3077 25 PLQ;;;42490
STOCK_EXTERNE_E3;SIL_EXTERNE;06/03/2019;;;;ESD ENGDIEL GE 843;;;42490
STOCK_EXTERNE_E4;SIL_EXTERNE;06/03/2019;;;;T15S0293;;;42490
STOCK_EXTERNE_E4;SIL_EXTERNE;06/03/2019;;;;Q702216;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;NPW pour mesure TXRF;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;D16S1429A / 29B;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;Q728084;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;Q602053;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;Q610140Q11;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;Q531226Q01;;;42490
STOCK_EXTERNE_E5;SIL_EXTERNE;06/03/2019;;;;Q610140;;;42490
STOCK_EXTERNE_B5;SIL_EXTERNE;07/03/2019;;;;T16S0753;;;42490
STOCK_EXTERNE_B5;SIL_EXTERNE;07/03/2019;;SALMA YOUNES;;SHORTLOOP PATTERNING PCM;;;42490
STOCK_EXTERNE_B5;SIL_EXTERNE;07/03/2019;;RODRIGUEZ;;28 NM CMOS WAFER STOPPED JUST BEFORE NIPT;;;42490
;SIL_EXTERNE;07/03/2019;;;;;;;42490
;SIL_EXTERNE;07/03/2019;;;;;;;42490
STOCK_EXTERNE_E4;SIL_EXTERNE;27/03/2019;;NICOLAS BRESSON;;T18S0927;;;
STOCK_EXTERNE_E4;SIL_EXTERNE;27/03/2019;;V.CAPRAS;;Q608189Q04/T16S02.6;;STX;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;JU.BUCKLEY;;AA111E;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;COSNIER;;D16E0058B;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;COSNIER;;D16S1586;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;JOEL --> YANNICK;;D16EO145;;O = ZERO BARRE;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;CHRISTOPHE LICITRA;;PLAQUES NIO;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;YA.BAINES;;D14E0125C;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;/;;D17E0172A;;"""TEST RSHEET POROM""";
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;BUCKLEY;;D16S1531;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;BISCARAT;;D17E0053C;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;COSNIER;;D15S2058;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;/;;D14E0086;;P01;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;TORRES;;D16E6123;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;BAINES;;D16S1409;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;CH.GILLOT;;D14E00864.3;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;RIAT;;D16E0241C;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;GOBIL;;D16E0017A;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;BAINES;;D16S2183;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;BAINES;;D16F0015;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;/;;D18E0240/D18E0260;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;BUCKLEY;;D15S1128D;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;JU.BUCKLEY;;Z912D;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;GARNIER;;AB625B;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;DRESSLER;;D14S0432G;;;
STOCK_EXTERNE_D4;SIL_EXTERNE;27/03/2019;;/;;O16E0123;;P06;
STOCK_EXTERNE_D5;SIL_EXTERNE;27/03/2019;;/;;D16S0109;;;
STOCK_EXTERNE_D5;SIL_EXTERNE;27/03/2019;;LADNER;;D16S1842;;;
STOCK_EXTERNE_D5;SIL_EXTERNE;28/03/2019;;TOURNAIRE;;J512JCJ / J506EZD;;;
STOCK_EXTERNE_D5;SIL_EXTERNE;28/03/2019;;TOURNAIRE;;STOCK ALEDIA N1;;;
STOCK_EXTERNE_D5;SIL_EXTERNE;02/04/2019;;BRUNET;;T17S0288B;;;
STOCK_EXTERNE_D5;SIL_EXTERNE;02/04/2019;;POURTEAU;;T18S1337 / T18S0876;;;
STOCK_EXTERNE_D5;SIL_EXTERNE;02/04/2019;;GUSMAO;;T17S0171 / T18S0741;;;
E2;SIL_EXTERNE;08/04/2019;;;;D15E0208E.5;;;
F1;SIL_EXTERNE;08/04/2019;;;;D15E0071H;;;
F1;SIL_EXTERNE;08/04/2019;;;;D15E0140D;;;
F1;SIL_EXTERNE;08/04/2019;;;;D16E0084;;;
E2;SIL_EXTERNE;08/04/2019;;;;D16E0049E;;;
F1;SIL_EXTERNE;08/04/2019;;;;D16E0153C;;;
E1;SIL_EXTERNE;08/04/2019;;;;D15E0131C;;;
E1;SIL_EXTERNE;08/04/2019;;;;D17E0102A.25;;;
E2;SIL_EXTERNE;08/04/2019;;;;D14E0008G;;;
F1;SIL_EXTERNE;08/04/2019;;;;D18E0033B;;;
F1;SIL_EXTERNE;08/04/2019;;;;D17E0129;;;
E1;SIL_EXTERNE;08/04/2019;;;;D16E0024B;;;
F1;SIL_EXTERNE;08/04/2019;;;;D16E0006D;;;
F1;SIL_EXTERNE;08/04/2019;;;;D16E0173;;;
F1;SIL_EXTERNE;08/04/2019;;;;D18E0095;;;
E2;SIL_EXTERNE;08/04/2019;;;;D17E0025C;;;
E2;SIL_EXTERNE;08/04/2019;;;;D18E0100B;;;
E2;SIL_EXTERNE;08/04/2019;;;;D17E0284D;;;
F1;SIL_EXTERNE;08/04/2019;;;;D15E0187D;;;
E2;SIL_EXTERNE;08/04/2019;;;;D17E0094B;;;
F1;SIL_EXTERNE;08/04/2019;;;;D17E0080B/C;;;
F1;SIL_EXTERNE;08/04/2019;;;;D16E0135C;;;
F1;SIL_EXTERNE;08/04/2019;;;;D18S1639;;;
E2;SIL_EXTERNE;08/04/2019;;;;D17E0203C;;;
F1;SIL_EXTERNE;08/04/2019;;;;Lot ST Oxyde 12µm + BOE ST;;;
E2;;23/04/2019;;NOLOT;;1 WAFER pour analyse XRF concentration AG;;;
E3;;23/04/2019;;BRESSON;;T18S0926;;;
E3;;23/04/2019;;CHAMIOT MAITRAL;;T17S0560;;;
E2;;23/04/2019;;;;T18S0599 s2 / T17S0730 s1/ t17S0736 s3;;;
F2;;23/04/2019;;RIAT;;D17E0026B;;;
F2;;23/04/2019;;RIAT;;D17E0103A;;;
B2;;23/04/2019;;;;T14S0406;;;
B4;;23/04/2019;;;;T19S0300;;;
D5;;23/04/2019;;;;Q710037Q11;;;
F2;;23/04/2019;;;;D17E0079;;;
F2;;23/04/2019;;;;D18S1638;;;
E4;;23/04/2019;;;;T19S0237;;;
F2;;23/04/2019;PV III-V;VAUCHE;47204;CARTON PLAQUES;;;
F2;;23/04/2019;ALEDIA;GUILLAUME VEUX;;VA7915-VA7990;;;
F2;;23/04/2019;ALEDIA;GUILLAUME VEUX;;VA7995-VA8018;;;
F2;;23/04/2019;ALEDIA;GUILLAUME VEUX;;VA8022-VA8048;;;
F2;;23/04/2019;ALEDIA;GUILLAUME VEUX;;VA8049-VA8077;;;
F2;;26/04/2019;ALEDIA;RIAT;;D17E0101B;;;
F2;;26/04/2019;PV III-V;VAUCHE;;D17E0047G;;;
F2;;26/04/2019;ALEDIA;RIAT;;D17E0190B;;;
E3;;29/04/2019;;;;T18S1181;;;
E4;;29/04/2019;;BRESSON;;Q812197Q11;;;
C5;;29/04/2019;;;;DEMO EBARA BLANCKET SILICIUM;;;
C5;;29/04/2019;;KARAM;;T19S0312;;;
